county_state,year,population,median_income,prop_female,prop_male,prop_white,prop_black,prop_native,prop_asian,prop_hawaiin_islander,prop_other_race,prop_multi_racial,prop_poverty
"Santa Barbara County, California",2010,424712,56767,0.4973629188720827,0.5026370811279173,0.7790196650906968,0.01920124696264763,0.010166889562809622,0.05105577426585545,3.343442144323683e-4,0.10487342010585997,0.035348659797698204,0.18007702132127953
"Santa Clara County, California",2010,1787694,85002,0.4984337364224526,0.5015662635775474,0.4996207404622939,0.026487754615722826,0.005518282211608922,0.32144539277974865,0.0036387659185520564,0.09959702275669102,0.04369204125538263,0.10530528241481821
"Santa Cruz County, California",2010,263054,61071,0.5014939898271837,0.4985060101728162,0.7970568780554563,0.008184631292434253,0.006424536406973473,0.04726786135166164,0.0014407688155283706,0.10927033993020445,0.03035498414774153,0.14608688511127535
"Shasta County, California",2010,177291,41023,0.5108155518328623,0.48918444816713763,0.8788206959180105,0.008263250813634082,0.020384565488377866,0.021986451652932185,0.002808941232211449,0.013525785290849508,0.05421030960398441,0.18500347590231006
"Solano County, California",2010,414305,63384,0.5009159918417591,0.4990840081582409,0.5270633953247004,0.15139571088932066,0.005628703491389194,0.14657317676590917,0.009324048708077383,0.09100783239400924,0.06900713242659394,0.12388023987916312
"Sonoma County, California",2010,485120,59055,0.5093873680738786,0.49061263192612137,0.8312994722955145,0.01664330474934037,0.015344656992084432,0.040589957124010555,0.004242249340369393,0.06328949538258576,0.02859086411609499,0.13149912937325325
"Stanislaus County, California",2010,515358,48044,0.5056058118822255,0.4943941881177744,0.7816935023808692,0.026794965829578663,0.009973649385475727,0.04817815964824452,0.006911700216160417,0.07886750569507023,0.047580516844601226,0.198984410744196
"Sutter County, California",2010,94806,46521,0.5126890703120056,0.48731092968799444,0.6525430879902115,0.010948674134548446,0.013343037360504609,0.14040250617049554,0.0013712212307237937,0.11630065607661963,0.0650908170368964,0.1709969917889756
"Tulare County, California",2010,443688,43397,0.49844710697607325,0.5015528930239267,0.7925276320297145,0.01576107535024612,0.010529921927119958,0.03109842952705505,3.0652169993328643e-4,0.11477209210075548,0.03500432736517553,0.2446173281589399
"Ventura County, California",2010,825706,71864,0.5024863571295352,0.4975136428704648,0.7483898627356468,0.01760917324083875,0.008168767091434482,0.06957924491283822,0.0015150671062097163,0.11885828612121022,0.03587959879182179,0.10712613851240523
"Yolo County, California",2010,201190,55798,0.5134748247924847,0.48652517520751526,0.6817635071325613,0.023992246135493812,0.00876783140315125,0.12621402654207464,0.005691137730503504,0.09266365127491426,0.06090759978130126,0.1835024954345199
"Yuba County, California",2010,72388,45755,0.4904818478200807,0.5095181521799194,0.6956401613527103,0.029480024313422115,0.014021661048792617,0.07433552522517545,0.003868044427253136,0.11633143614963806,0.06632314748300823,0.22166177682068477
"Adams County, Colorado",2010,443715,52711,0.4984505820177366,0.5015494179822634,0.7721307596092086,0.03147290490517562,0.013233719842691819,0.03496839187316183,0.0012778472668266794,0.11740193592734074,0.029514440575594696,0.1313894757013994
"Arapahoe County, Colorado",2010,575022,57724,0.5092831230805083,0.4907168769194918,0.7443576071872032,0.09535461251917318,0.011269134050523284,0.05046763428181878,0.0017008044909586069,0.053394478819940805,0.043455728650382074,0.11683420612969801
"Boulder County, Colorado",2010,295166,61859,0.4997967245549962,0.5002032754450039,0.8687213296924442,0.00827669853573921,0.0036284666933183362,0.037809232770712076,1.5245658375287127e-4,0.049273967868927994,0.03213784785510526,0.14664264416137224
"Denver County, Colorado",2010,604414,45074,0.49949207000499657,0.5005079299950034,0.6983127458993339,0.10085305767239011,0.011788277571333557,0.03187715704798367,5.310929263716591e-4,0.12535778456488433,0.03127988431770277,0.21553344333208488
"Douglas County, Colorado",2010,287003,94909,0.5052595269039,0.49474047309610003,0.917216893203207,0.009780385570882535,0.0027560687518945796,0.034637268599979794,0,0.005654993153381672,0.02995439072065449,0.033129870628431035
"El Paso County, Colorado",2010,626928,51458,0.5008645330883291,0.4991354669116709,0.812573373656943,0.06055240793201133,0.006785468187734477,0.022471479978562133,0.0021900441518005256,0.035209784855677204,0.06021744123727127,0.13532253434488414
"Jefferson County, Colorado",2010,535533,63826,0.50299047864464,0.49700952135536,0.9115647401747418,0.010966644445813797,0.0065206065732643925,0.026194464206687543,1.2137440643247008e-4,0.022284341021001505,0.022347829172058492,0.08873942327891128
"Larimer County, Colorado",2010,300637,54154,0.5004606884714788,0.4995393115285211,0.9115311821232915,0.009582985460871416,0.005198960873079495,0.01816808975608458,0.0017163556049321939,0.029454125739679413,0.024348300442061356,0.1428195587627316
"Mesa County, Colorado",2010,146313,46231,0.5016984136747931,0.49830158632520694,0.9054902845270072,0.004059789629082856,0.004285333497365237,0.0053720448627258,0.0023032813215503748,0.04866279824759249,0.02982646791467607,0.1635836564102925
"Pueblo County, Colorado",2010,159477,38326,0.5112210538196731,0.48877894618032697,0.7801438451939778,0.013324805457840316,0.02574665939289051,0.009136113671563924,0.0019313129793010904,0.12843231312352252,0.04128495018090383,0.20000385005325907
"Weld County, Colorado",2010,254270,51956,0.5002084398474063,0.4997915601525937,0.8914657647382703,0.008813466000707908,0.011845675856373146,0.012856412474928226,3.460888032406497e-4,0.046033743658315966,0.028638848468163763,0.14887950110641723
"Fairfield County, Connecticut",2010,918714,74831,0.5138476174304517,0.4861523825695483,0.7601092396545606,0.10799661265638708,7.107761501403048e-4,0.04489645308550866,1.8721822025135135e-4,0.06659852794231937,0.01950117229083262,0.09440846036653273
