geoid,county_state,year,population,median_income,median_monthly_rent_cost,median_monthly_home_cost,prop_female,prop_male,prop_poverty
08,Colorado,2013,5268367,58823,971,1235,0.4977616403716749,0.5022383596283251,0.1295644090094053
09,Connecticut,2013,3596080,67098,1040,1622,0.5128353651754133,0.4871646348245868,0.10727751249299569
10,Delaware,2013,925749,57846,999,1137,0.5162954537352997,0.4837045462647003,0.12365242657626938
11,District of Columbia,2013,646449,67572,1307,1836,0.5264173971960665,0.4735826028039335,0.18887425055738263
12,Florida,2013,19552860,46036,972,935,0.5107821055334104,0.48921789446658953,0.17006489823548937
13,Georgia,2013,9992167,47829,850,982,0.5117141256746409,0.488285874325359,0.18967023059765778
15,Hawaii,2013,1404054,68020,1414,1630,0.4936683346936799,0.5063316653063201,0.1084829438852582
16,Idaho,2013,1612136,46783,725,886,0.49701576045693413,0.5029842395430658,0.15575733569354183
17,Illinois,2013,12882135,56210,885,1156,0.5088719377649745,0.4911280622350255,0.14673133132114358
18,Indiana,2013,6570902,47529,730,822,0.5086087115589306,0.49139128844106944,0.15941340067117993
19,Iowa,2013,3090416,52229,679,806,0.5053190250115195,0.4946809749884805,0.12672754682167486
20,Kansas,2013,2893957,50972,745,856,0.50224519576483,0.49775480423517005,0.13989932148341835
21,Kentucky,2013,4395295,43399,668,717,0.507867617531929,0.49213238246807095,0.18765369539272425
22,Louisiana,2013,4625470,44164,763,680,0.5121654664282764,0.4878345335717235,0.19755754685940277
23,Maine,2013,1328302,46974,760,904,0.5106579678416505,0.48934203215834954,0.1396160383111498
24,Maryland,2013,5928814,72483,1210,1540,0.5150536009394122,0.48494639906058784,0.10116705501697518
